created_at,id_str,text,longitude,latitude
2019-09-28 21:36:31,1.18E+18,Kensington Gardens and Hyde Park @ Kensington Gardens https://t.co/4JAtOiUVDT,-0.18027778,51.50722222
2019-09-28 19:21:32,1.18E+18,Samy bishai Laurie Lowe Asaf Sirkis Whirlwind Recordings Robinson Khoury @ Hyde Park https://t.co/hPjHqE353u,-0.16324997,51.50707303
2019-09-28 17:23:10,1.18E+18,Nice end to the day working for @beatED a little run round Hyde park. The autumn is approaching 🍂🍁now to find out w… https://t.co/MsRhk8PkIh,-0.16324997,51.50707303
2019-09-28 15:48:54,1.18E+18,This afternoon we visited Kensington Palce and Hyde Park. We saw exhibits on George I &amp; II and Queen Elizabeth. We… https://t.co/jMCOCFkMxo,-0.18750689,51.50494547
2019-09-28 15:34:17,1.18E+18,"INHALE AND EXHALE
#imisslondon 
#throwback 
#hydepark 
#london
#phuwadonbiere @ Hyde Park https://t.co/RlLLFJef5W",-0.16324997,51.50707303
2019-09-28 12:51:42,1.18E+18,"Weekend mood @ Hyde Park, Leeds https://t.co/Fepew4D6xi",-1.57245,53.8114
2019-09-28 11:55:43,1.18E+18,"Our second day. 

We explored the city again. Found many more red phone booths. Took a walk on the Princess Diana M… https://t.co/HEqrNB8ziy",-0.12731805,51.50711486
2019-09-28 9:45:20,1.18E+18,"Another fun weekend in London running our event, started the morning with a dance 💃🏽 and a hour long walk around Hy… https://t.co/HQmA6uOe3X",-0.18324368,51.49361418
2019-09-27 23:03:34,1.18E+18,"Can you find the same sight? 🦢🌈😝
#hydeparklondon @ Hyde Park, London https://t.co/eIVyAUfLGa",-0.16964389,51.50732694
2019-09-27 18:21:57,1.18E+18,"—💙 (@ Hyde Park - @theroyalparks in London, Greater London) https://t.co/oI1XWjBlwZ",-0.16239166,51.50778088
2019-09-27 15:21:28,1.18E+18,If you would've told me to run a 5k a few months back I would've cried. Thanks to these at Age UK who pushed me to… https://t.co/XrhIX1hi0p,-0.17480917,51.50467154
2019-09-27 14:45:35,1.18E+18,"I'm at Mandarin Oriental Hyde Park - @mo_hotels in London, Gt Lon https://t.co/VnMFtQKIpu",-0.1598675,51.502273
2019-09-27 0:05:09,1.18E+18,Hoping one day you’ll make a dream last but dreams come slow and they go so fast 🍂🌸🌾 em Hyde Park https://t.co/63c5N9mOKz,-0.16324997,51.50707303
2019-09-26 19:49:13,1.18E+18,"#TBT 
4 years ago today myself and Sam were staying in a 5star hotel on Hyde park, Kensington, London VIP guests of… https://t.co/X6sH26EhBM",-0.3412301,51.4544888
2019-09-26 16:09:43,1.18E+18,"Check out some of our highlights from last Saturday's Family #photographyworkshop in Hyde Park, London, run by Pro… https://t.co/BAhwkqX1W8",-0.16324997,51.50707303
2019-09-26 14:59:59,1.18E+18,My fav shot from @bbcradio2 Live in Hyde Park as featured in @MusicWeek it's petshopboys their manager Angela Becke… https://t.co/aq2YGbpCNZ,-0.14369167,51.51840833
2019-09-26 9:56:36,1.18E+18,Just posted a photo @ Benugo Hyde Park https://t.co/knC6YnA2HM,-0.16016907,51.50499541
2019-09-25 17:52:08,1.18E+18,"~
#t
#z
#tz
#atz
#a2z
#clean
#slate
#lace
#wit
#new
#news
#tune
#in
#space
#time
#∞
#@ @ Gallery Hyde Park https://t.co/pmXfY93Tx0",-0.1864277,51.5114937
2019-09-25 17:38:06,1.18E+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/qjWqXAWihz https://t.co/q4c44B420Y",-0.16239166,51.50778088
2019-09-25 15:09:44,1.18E+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/mElZpktaYf",-0.16239166,51.50778088
2019-09-25 14:48:33,1.18E+18,"Early morning training walk in the 🌧 Not much fun. But at least we have conkers 😅

#training #walking #memorywalk… https://t.co/FZVgoXG4M7",-0.16324997,51.50707303
2019-09-25 12:58:59,1.18E+18,I love playing - and I love playing with Conkers! They are beautiful in form and feel @ Hyde Park https://t.co/mpsKYnhJPj,-0.16324997,51.50707303
2019-09-24 23:30:22,1.18E+18,If you haven’t had a chance to see my pure happiness face—here it is. London you’re a dream 🏴󠁧󠁢󠁥󠁮󠁧󠁿(this was suppos… https://t.co/u5vaDY8lAp,-0.16324997,51.50707303
2019-09-24 18:22:31,1.18E+18,"Nature🦋 @ Hyde Park, London https://t.co/Xu7Rwp2sdp",-0.16964389,51.50732694
2019-09-24 17:24:06,1.18E+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/wAY871omJ2",-0.16239166,51.50778088
2019-09-24 11:08:45,1.18E+18,London .. I like you @ Hyde Park https://t.co/9ZcfhsjZkS,-0.16324997,51.50707303
2019-09-23 18:08:09,1.18E+18,"Blessed. @ Hyde Park, London https://t.co/RAdA9s6z5b",-0.16964389,51.50732694
2019-09-23 16:07:28,1.18E+18,Just posted a photo @ Hyde Park https://t.co/3FsodeO5pO,-0.16324997,51.50707303
2019-09-23 13:06:04,1.18E+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/1JiuBdvoAc",-0.16239166,51.50778088
2019-09-23 6:41:09,1.18E+18,I'm at Park Grand London Hyde Park in London https://t.co/k66ZSwxugg,-0.18035811,51.51564595
2019-09-22 21:41:28,1.18E+18,"At the Canadian memorial backed by autumnal foliage 🍁🍂
Thank you Lynn for this lovely shot and our meet up after 9… https://t.co/sqQIVYWNy2",-0.16324997,51.50707303
2019-09-22 21:33:43,1.18E+18,I'm at Park Grand London Hyde Park in London https://t.co/E7abRk4XCH,-0.18035811,51.51564595
2019-09-22 15:27:03,1.18E+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/TELklIVoGr https://t.co/3mxwyJGsjV",-0.16239166,51.50778088
